#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population
179,Turks and Caicos,"1,011",,6,,819,186,2,"25,926",154,"12,477","319,964","38,995"
177,Saint Martin,"1,025",,12,,855,158,7,"26,271",308,"12,433","318,664","39,016"
61,Kuwait,"155,874",539,946,,"149,809","5,119",48,"36,215",220,"1,359,421","315,843","4,304,109"
7,Turkey,"2,355,839","9,554","23,325",173,"2,227,927","104,587","2,652","27,774",275,"26,729,595","315,124","84,822,365"
38,Hungary,"345,710","1,358","10,948",95,"215,453","119,309",339,"35,835","1,135","2,879,364","298,467","9,647,174"
180,Barbados,968,,7,,408,553,1,"3,366",24,"84,879","295,166","287,564"
167,New Zealand,"2,228",6,25,,"2,141",62,,445,5,"1,448,199","289,518","5,002,100"
50,Slovakia,"215,055","3,576","3,163",61,"157,028","54,864",491,"39,380",579,"1,568,070","287,137","5,461,060"
191,Isle of Man,414,8,25,,353,36,1,"4,855",293,"24,359","285,656","85,274"
209,Greenland,29,,,,28,1,,510,,"16,170","284,568","56,823"
36,Serbia,"366,191","2,267","3,664",25,"31,536","330,991",189,"42,002",420,"2,437,036","279,526","8,718,447"
57,Kazakhstan,"164,477",766,"2,349",,"150,427","11,701",221,"8,704",124,"5,250,104","277,839","18,896,213"
48,Croatia,"222,117","1,135","4,472",26,"212,345","5,300",193,"54,286","1,093","1,095,705","267,791","4,091,637"
171,Sint Maarten,"1,589",,27,,"1,460",102,3,"36,838",626,"11,535","267,416","43,135"
22,Romania,"681,392","4,424","16,969",88,"610,122","54,301","1,081","35,547",885,"5,077,520","264,888","19,168,577"
136,Guadeloupe,"8,776",,154,,"2,242","6,380",3,"21,931",385,"105,991","264,871","400,161"
154,Cura̤ao,"4,469",,19,,"4,023",427,4,"27,175",116,"40,295","245,026","164,452"
115,Botswana,"16,768",,59,,"13,310","3,399",1,"7,055",25,"573,333","241,227","2,376,741"
173,Mongolia,"1,469",13,2,,909,558,14,444,0.6,"787,517","238,187","3,306,297"
188,Mauritius,547,1,10,,516,21,,430,8,"289,552","227,474","1,272,899"
46,Azerbaijan,"225,820",474,"2,957",16,"212,120","10,743",,"22,166",290,"2,287,959","224,576","10,187,904"
146,Martinique,"6,184",,43,,98,"6,043",4,"16,486",115,"79,166","211,048","375,109"
194,St. Vincent Grenadines,284,31,,,106,178,2,"2,556",,"23,174","208,532","111,129"
58,Armenia,"163,128",485,"2,951",10,"151,246","8,931",,"54,995",995,"613,908","206,967","2,966,210"
14,Poland,"1,404,905","9,053","32,074",481,"1,147,123","225,708","1,606","37,143",848,"7,792,827","206,027","37,824,363"
104,Uruguay,"27,846",,269,,"20,099","7,478",103,"8,001",77,"714,493","205,304","3,480,173"
83,North Macedonia,"87,590",473,"2,657",10,"68,695","16,238",138,"42,043","1,275","423,696","203,375","2,083,328"
198,Brunei,174,,3,,168,3,,396,7,"86,059","195,717","439,712"
125,Cabo Verde,"12,506",,115,,"11,815",576,23,"22,364",206,"107,817","192,805","559,203"
64,Palestine,"149,769",801,"1,658",28,"134,977","13,134",93,"29,003",321,"944,333","182,869","5,163,994"
51,Bulgaria,"209,881",,"8,279",,"140,548","61,054",367,"30,328","1,196","1,239,980","179,181","6,920,261"
131,Gabon,"9,740",,66,,"9,549",125,6,"4,322",29,"394,166","174,917","2,253,441"
18,Peru,"1,040,231",,"38,399",,"971,000","30,832","1,517","31,317","1,156","5,697,183","171,520","33,215,904"
11,Colombia,"1,816,082",,"46,782",,"1,646,892","122,408","3,482","35,490",914,"8,769,587","171,376","51,171,732"
76,Bosnia and Herzegovina,"116,668",468,"4,399",26,"83,662","28,607",,"35,680","1,345","552,988","169,118","3,269,832"
195,Caribbean Netherlands,249,,3,,181,65,,"9,449",114,"4,453","168,975","26,353"
127,Belize,"11,366",,277,,"10,502",587,2,"28,312",690,"63,446","158,041","401,452"
63,Moldova,"150,946",808,"3,193",17,"140,217","7,536",214,"37,466",793,"584,518","145,080","4,028,927"
116,Cuba,"16,044",550,158,3,"12,478","3,408",29,"1,417",14,"1,634,430","144,347","11,322,907"
144,Mayotte,"6,255",23,56,,"2,964","3,235",5,"22,640",203,"39,759","143,905","276,286"
138,Bahamas,"8,004",,175,,"6,331","1,498",11,"20,251",443,"55,277","139,854","395,247"
34,Morocco,"455,055","1,266","7,810",26,"429,278","17,967","1,025","12,251",210,"5,104,449","137,426","37,143,366"
3,Brazil,"8,210,134","14,497","204,980",254,"7,273,707","731,447","8,318","38,479",961,"28,600,000","134,042","213,366,090"
2,India,"10,504,353","8,537","151,688",124,"10,137,584","215,081","8,944","7,572",109,"183,489,114","132,270","1,387,234,405"
17,Ukraine,"1,130,839","6,409","20,214",195,"826,871","283,754",177,"25,941",464,"5,733,555","131,527","43,592,317"
214,Montserrat,13,,1,,12,0,,"2,603",200,626,"125,350","4,994"
26,Iraq,"605,416",867,"12,915",4,"562,575","29,926",135,"14,875",317,"4,971,484","122,152","40,699,084"
16,South Africa,"1,259,748",,"34,334",,"1,019,123","206,291",546,"21,099",575,"7,287,060","122,048","59,706,390"
12,Argentina,"1,744,704",,"44,848",,"1,527,861","171,995","3,619","38,415",987,"5,314,594","117,018","45,416,877"
190,Saint Lucia,490,,5,,310,175,,"2,662",27,"21,259","115,490","184,076"
68,Malaysia,"144,518","2,985",563,4,"111,578","32,377",197,"4,435",17,"3,735,103","114,621","32,586,518"
